sqft_living,sqft_lot,floors,sqft_above
2100,4400,1.5,1720
2910,10204,2.0,2910
2750,17789,1.5,1980
2100,8201,1.0,1620
2160,8811,1.0,1360
2320,4960,2.0,1720
2070,4310,2.0,2070
1060,7875,1.0,1060
2010,9603,1.0,1440
3950,111078,1.5,2460
2010,2287,2.0,1390
2140,2278,3.0,2140
1320,17390,1.0,1320
2020,7840,1.0,1010
2590,10002,1.0,1340
1190,4440,1.0,1190
1170,1249,3.0,1170
1110,3200,1.0,1110
2820,9375,1.0,1550
1610,8579,1.0,1010
1060,8097,1.0,940
2030,8517,1.0,1380
3670,315374,2.0,3670
2550,4000,2.0,2370
2420,60984,2.0,2420
2260,12500,1.0,1130
1430,3455,1.0,980
1360,3090,2.0,1360
1110,5000,1.5,1110
1250,8200,1.0,1250
5180,19850,2.0,3540
700,5100,1.0,700
1180,7669,1.0,1180
3960,25245,2.0,2500
2640,7500,1.0,1620
1270,7198,1.5,1270
1760,11180,1.0,1760
2060,8632,1.0,1030
1780,9660,1.0,1780
3400,16603,2.0,3400
1910,7280,1.0,1160
2020,38332,1.0,1010
1580,7000,1.0,1180
1340,7250,1.0,700
2680,4499,2.0,2680
2680,9750,1.0,1610
1370,8336,1.0,1370
1560,21000,1.0,1560
2160,7140,1.0,1670
1340,7912,1.5,1340
3880,35003,2.0,2570
2590,8190,2.0,2590
1120,1100,2.0,820
1970,5400,1.0,1320
1220,4800,1.0,1220
1950,7560,1.0,1320
1350,8220,1.0,1060
1670,5797,2.0,1670
2380,5125,1.5,1680
2440,9600,2.0,2440
1050,3419,2.0,1050
3130,13412,2.0,2140
4090,12850,1.0,2090
1490,10000,1.0,1100
1900,8744,2.0,1900
1330,2400,1.5,1330
2230,10026,1.0,1430
1650,9480,1.0,1220
1190,8820,1.0,1190
2140,9897,1.0,2140
2180,7508,1.0,1420
1060,10228,1.0,1060
1690,5025,2.0,1690
1970,6480,1.5,1130
2150,4084,2.0,2150
1910,66211,2.0,1910
1350,155073,1.0,1350
860,11725,1.0,860
1940,14952,2.0,1940
1010,5000,1.0,1010
1300,7370,1.0,900
910,8450,1.0,910
2480,11010,1.0,1630
2440,4587,2.0,2440
1010,5864,1.0,1010
900,9600,1.0,900
2300,3404,2.0,1600
1550,7579,2.0,1550
1270,1566,2.0,1060
2240,12032,1.0,2240
2714,17936,2.0,2714
1720,6270,2.0,1720
850,16400,1.0,850
3300,33474,1.0,1870
2250,5692,2.0,2250
3900,14864,1.0,1950
1320,10800,1.0,1320
2760,6440,2.0,2760
1750,9750,1.0,1350
2330,19436,2.0,2330
2220,16020,1.0,1780
2020,8379,2.0,2020
1250,7500,1.0,1250
1510,6516,1.0,1510
1720,9753,1.0,1120
1430,15246,1.0,980
1480,4729,2.0,1480
1450,15798,2.0,1230
2280,15347,1.0,2280
2940,7350,1.0,1780
1000,10200,1.0,1000
2480,5280,1.5,1620
3760,28040,2.0,3760
2220,94300,1.0,1640
1970,4740,1.5,1670
3830,221284,2.0,3530
4410,14034,1.0,2350
1430,8505,1.0,1430
830,6000,1.0,830
1430,5000,1.5,1430
1300,8316,1.0,1300
1030,3060,1.0,790
2740,11872,2.0,2740
3650,8354,1.0,1830
720,5120,1.0,720
2010,7312,1.0,2010
1560,3000,1.0,770
1810,7209,1.0,1240
3360,7685,2.0,3360
1510,36224,2.0,1510
1400,3538,1.0,800
1730,7442,2.0,1730
1420,9191,1.5,1420
2360,7620,1.0,1180
1580,11455,1.0,1200
1230,10170,1.0,1230
2460,4425,2.0,2460
1660,4400,1.5,1460
1270,8470,1.0,1270
2100,40510,2.0,1320
770,5040,1.0,770
760,10079,1.0,760
1700,7280,2.0,1700
1120,10701,1.0,1120
1070,4500,1.0,1070
2070,9900,1.0,1420
5050,20100,1.5,4750
5310,57346,2.0,5310
1040,7538,1.0,1040
1700,11390,1.0,1700
1300,5898,1.0,1300
1080,1306,1.0,580
2653,4510,2.0,2653
2290,16258,1.0,2290
3820,26300,2.0,2850
2210,49375,1.0,2210
2390,6000,1.0,1240
2600,11325,1.0,1610
860,5265,1.0,860
3830,8480,2.0,2630
3500,7048,2.0,3500
2420,13959,1.0,1740
2720,8666,2.0,2720
2500,13500,1.0,1850
1670,6720,1.0,1140
2900,10300,1.0,1450
1640,14100,1.0,1140
1890,15770,2.0,1890
2950,9025,1.0,1780
2160,9528,2.0,2160
3280,11060,2.0,2270
1970,4166,2.0,1270
3360,22111,2.0,3360
1320,8959,1.0,1320
2650,7286,2.0,2650
2030,8880,1.0,1330
1590,11914,1.0,1090
4550,18641,1.0,2600
2440,7632,2.0,2440
1940,9000,1.0,970
2040,3810,2.0,2040
2200,8750,1.0,1120
1920,3300,1.0,960
1800,7750,1.0,1400
2180,7297,2.0,2180
1010,5000,1.5,1010
3320,10574,2.0,2220
2370,4000,1.5,1980
1660,78408,1.5,1660
3650,9050,2.0,3370
4290,12103,1.0,2690
4290,12103,1.0,2690
1950,7700,1.0,1350
2590,14052,1.0,1720
1930,64904,1.0,1930
1470,3864,1.0,1170
800,8775,1.0,800
3150,7119,2.0,3150
2030,16200,2.0,2030
1450,11204,1.0,1450
1510,10248,1.0,1510
1240,12092,1.0,960
1240,12092,1.0,960
3030,45004,2.0,3030
2050,4400,1.5,2050
1000,7636,1.0,1000
2370,10289,1.0,1590
2800,6750,2.0,1890
2240,11180,2.0,2240
1810,10530,1.0,1810
1070,5000,1.0,1070
2490,9525,2.0,2490
1960,5238,2.0,1960
2930,5569,1.0,1860
1510,3500,1.5,1510
1420,8250,1.0,1420
1740,11547,1.0,1740
2560,43995,2.0,2560
3040,8414,2.0,2420
2500,6840,1.0,1300
1275,20000,1.0,1275
2580,5823,2.0,2580
1000,7134,1.0,1000
1000,7134,1.0,1000
1070,32633,1.0,1070
1390,13464,1.0,1390
2500,7690,1.0,1250
560,12120,1.0,560
2270,10460,2.0,2270
1900,14400,1.0,1300
990,3120,1.0,790
1550,19800,1.0,1050
2200,7475,1.0,1100
1910,4862,2.0,1910
1750,9600,1.5,1750
1330,77972,1.0,1330
2440,5750,2.0,1980
1640,29970,2.0,1640
2760,11340,2.0,2760
1820,7912,2.0,1820
2110,5608,1.0,1340
3040,9570,1.0,1640
1840,40438,2.0,1840
2990,10400,2.0,2990
3520,15420,2.0,3520
2440,69415,1.0,1910
2090,7500,1.0,1370
1430,7222,2.0,1430
2180,10754,1.0,1100
2180,10754,1.0,1100
3450,9914,2.0,3450
1450,7562,2.0,1450
3230,7331,2.0,3230
1640,13500,1.0,1110
1590,7750,1.0,1060
2020,2849,2.0,2020
1300,3348,1.5,1300
1380,209959,1.0,1380
4040,14338,2.0,3030
2130,5337,2.0,2130
2550,7800,1.0,1580
4800,14984,2.0,3480
2510,11585,2.0,2510
1410,9600,1.0,1410
1650,7352,1.0,1160
2120,13780,2.0,2120
2040,10726,1.0,1380
1550,7620,1.5,1550
1980,3128,2.0,1980
1600,26977,2.0,1600
3300,12090,2.0,3300
3840,16619,2.0,3840
1220,10000,1.0,1220
2720,8800,1.0,1500
1940,25600,1.0,1940
2160,3000,1.5,1260
1530,8750,1.5,1530
1710,2096,2.0,1290
3730,16980,1.0,2150
940,5000,1.0,940
1750,22357,2.0,1750
1820,6753,2.0,1820
1510,2000,2.0,1330
1290,1213,3.0,1290
1570,5250,1.0,1570
1930,6957,2.0,1930
2840,40139,1.0,2840
1550,8134,2.0,1550
833,143947,1.0,833
2990,32239,2.0,2990
2000,7251,2.0,2000
2390,7480,1.5,2390
2910,37461,1.0,1530
2085,174240,1.0,1610
2200,9351,1.0,1290
1860,5028,2.0,1860
6070,171626,2.0,6070
950,3960,1.0,950
1600,9135,1.0,1600
2250,11632,2.0,2250
2280,10255,2.0,2280
940,5120,1.0,940
1530,8500,1.0,1030
2190,27260,1.0,2190
2350,15021,1.0,1770
1440,7680,1.0,1200
2200,4052,2.0,2200
2290,8250,2.0,2290
4040,19700,2.0,4040
2610,3277,1.5,1920
1490,2138,2.0,1490
2450,5280,2.0,2450
1710,9627,1.0,1440
4870,11800,2.0,3470
3130,8750,2.0,3130
1270,1372,3.0,1270
2120,10875,1.0,1540
1670,8230,1.0,1670
2070,11576,2.0,2070
1420,5332,1.0,1070
1250,219978,1.0,1250
940,7980,1.0,940
1920,9102,1.0,1920
3545,9816,1.0,2610
1260,5460,1.0,1260
2340,7200,1.0,1300
2590,9263,1.0,1440
3970,24920,2.0,3260
1220,9732,1.0,1220
1400,10403,1.0,1400
2360,16117,1.0,1710
1870,9897,1.0,1870
2830,5802,2.0,2830
2260,3640,2.0,2260
1970,20978,2.0,1770
3140,9225,1.0,1770
1240,8659,1.0,1240
3450,7832,2.0,3450
2570,8491,2.0,2570
1510,3413,2.0,1510
2390,11250,2.0,2390
980,7000,1.0,980
430,5050,1.0,430
1480,6360,1.0,1480
1850,7324,2.0,1850
2270,28025,1.0,1920
1810,5192,2.0,1810
1610,17600,2.0,1610
3840,6161,2.0,3840
4110,8400,2.0,3130
4190,10259,2.0,3150
3390,6298,2.0,3390
1890,3006,2.0,1890
1610,2527,2.0,1080
1050,4590,1.0,850
630,6550,1.0,630
2910,10650,1.0,1780
1700,8640,1.0,850
1950,8130,2.0,1950
2990,9773,2.0,2990
1350,6000,1.0,900
4860,181319,2.5,4860
2160,7725,1.0,1460
4860,11793,2.0,3860
890,5000,1.0,890
2810,7302,2.0,2810
3400,9500,2.0,3400
1580,7350,1.0,960
1680,5036,1.0,1680
1300,11230,1.0,1300
2820,14062,2.0,2380
1510,6710,1.0,1070
1230,1391,2.0,870
2110,4140,2.0,1710
3080,19635,1.0,1610
1490,5750,1.5,1190
2120,4500,2.0,2120
3180,5438,2.0,3180
1490,3825,1.0,860
1930,11947,1.0,1930
2770,7800,2.0,2770
1670,11610,1.0,1670
1330,7200,1.0,1330
1210,3328,1.5,1210
1190,5100,1.0,1030
1540,6872,1.0,820
4030,10800,2.0,4030
2430,7559,1.0,1580
2600,7787,2.0,2600
4410,57063,2.0,4410
1330,8184,1.5,1330
1900,5000,1.0,950
1100,7680,1.0,1100
1980,39150,1.5,1580
2400,7745,2.0,2400
4760,8036,2.5,3390
3180,194278,2.0,3180
1190,7560,1.0,1190
630,6000,1.0,630
2530,5105,1.0,1520
1690,11054,1.0,1690
940,5000,1.0,940
1240,9119,1.0,1240
3040,6587,2.0,3040
6050,230652,2.0,6050
1590,7085,1.5,1590
2500,36947,1.0,2500
1780,7848,1.0,1320
1360,1898,2.0,1360
4740,76230,2.0,4740
1010,9600,1.0,1010
1040,7405,1.0,1040
1610,6655,2.0,1610
1570,8268,1.0,1570
1510,4000,1.0,1010
1360,6082,1.0,1360
1970,5106,2.0,1970
5403,24069,2.0,5403
1560,4350,2.0,1560
2320,12000,1.0,2270
2120,40518,1.0,2120
2120,18500,2.0,2120
3350,29242,2.0,3350
2380,9614,2.0,2380
1070,649,2.0,720
2300,18360,1.0,1560
1320,8865,1.0,1320
2180,10221,1.0,1140
4380,6320,2.0,3580
1790,9813,2.0,1790
750,8125,1.0,750
1300,8280,1.0,1300
2990,29170,2.0,2990
4640,15235,2.0,2860
1400,7242,1.5,1400
2750,9563,2.0,2750
2050,10271,2.0,2050
2230,108900,1.0,1410
2340,217014,1.0,2340
2870,5163,2.0,2870
4120,22370,2.0,4120
2080,9162,1.0,1370
1840,5680,2.0,1840
1180,5350,1.5,1180
2160,4000,1.5,1530
1180,3400,1.5,1180
1160,15029,1.0,870
1830,5612,2.0,1830
3200,7708,2.0,3200
2560,5445,1.5,1760
2550,5040,1.5,2550
1330,9917,1.0,1040
1220,75794,1.0,1220
1805,3402,2.0,1805
6050,84942,2.5,4150
2320,5493,2.0,2320
1384,8960,1.0,1384
2720,6439,2.0,2720
1820,10608,1.0,1820
2130,4920,1.5,1530
2060,10070,2.0,2060
1420,7500,1.0,1080
1510,15744,1.0,1510
2160,4000,1.5,1960
3180,12600,2.0,3180
2110,13300,2.0,2110
2060,2900,1.5,1330
1830,217800,1.0,1010
1820,32666,1.0,1820
1610,2937,2.0,1610
1780,3600,2.0,1780
1840,9611,2.0,1840
1460,10584,1.0,990
1400,2958,2.0,1400
3370,14402,2.0,3370
3590,8249,2.0,3590
3200,15367,2.0,3200
1670,6460,1.0,1670
2420,31465,1.0,2420
1430,10816,2.0,1430
1440,7070,1.0,1440
1450,4789,2.0,1450
3550,13938,1.0,2100
1270,1175,2.0,1110
940,6804,1.0,940
1670,6824,1.0,1300
3100,15842,2.0,2400
1100,1760,3.0,1100
1870,3388,1.0,1230
1930,5080,2.0,1930
2540,4694,2.0,2540
1280,7524,1.5,1280
1820,8814,1.0,1280
1490,9414,2.0,1490
1880,5502,2.0,1880
1250,9775,1.0,1250
1440,7210,1.0,1440
1920,7415,2.0,1920
2060,5750,1.0,1330
1210,10588,1.0,1210
1760,5000,1.0,940
990,6750,1.0,990
960,6400,1.0,820
1660,1458,3.0,1660
1900,9375,1.0,1330
1270,2790,1.0,990
3250,34293,2.0,3250
960,9633,1.0,960
1330,6000,1.0,960
2080,7700,1.0,1600
2690,11575,1.0,2130
890,3060,1.0,770
1070,8000,1.0,1070
1200,8316,1.0,1200
1360,8910,2.0,1360
2050,13303,1.0,2050
3000,5750,2.0,2000
1300,3850,1.0,800
2250,9091,1.0,1340
3740,6750,1.0,1980
1660,1091,3.0,1530
2360,6699,2.0,2360
1760,6500,1.0,1150
1680,6200,1.5,1680
1320,2500,1.0,870
870,26326,1.0,870
1260,7645,1.5,1260
1000,6020,1.0,1000
2020,36400,1.0,1550
1920,6862,1.0,1120
2150,5400,1.5,1380
1470,3976,2.0,1470
3180,10492,2.0,3180
3930,55867,1.0,2330
990,6000,1.0,990
2770,3330,2.0,1970
1250,8710,1.0,1250
1140,22267,1.0,1140
2250,14440,1.0,1550
1640,5097,2.0,1640
1255,1374,3.0,1255
1290,12231,1.0,1290
1300,9079,1.0,1300
1220,1086,3.0,1220
2630,4000,3.0,2630
1950,15954,1.0,1950
3160,5000,2.0,2360
1550,4708,1.0,860
1700,6380,1.0,850
2510,11880,1.0,1630
1800,4180,2.0,1800
1800,18000,1.0,1200
1870,9315,1.0,1350
1010,3000,1.0,1010
1120,17487,1.0,1120
2090,4755,1.0,1200
4370,18361,2.0,4370
1440,7187,1.0,970
2580,209523,2.0,2580
3190,7399,2.0,3190
2380,5809,2.0,1750
1420,4875,1.5,1420
2990,6768,2.0,2990
2680,7757,2.0,2680
2730,7649,2.0,2730
1220,8329,1.0,1220
1500,12616,1.0,1500
1830,11788,1.0,1430
4570,19252,2.0,4570
2470,7698,2.0,2470
800,4342,1.0,670
2900,23488,2.0,2900
1410,5760,1.0,1410
2830,25958,1.0,1610
1680,9966,1.0,1100
1760,26055,1.0,920
2240,11034,2.0,2240
1380,5000,1.5,1380
820,5100,1.0,820
2180,10575,1.0,1730
1400,3600,1.0,1100
880,9000,1.0,880
1060,5703,1.0,1060
1530,7245,1.0,1530
2480,14782,1.0,1460
1490,7150,1.0,1490
3660,39478,2.0,3260
2340,8548,2.0,2340
1450,12125,1.0,1450
2210,9875,2.0,2210
1130,7400,1.0,1130
1550,10500,1.0,1100
1710,7140,1.0,1010
1010,8108,1.0,1010
2660,13579,2.0,2660
2660,13579,2.0,2660
1300,9644,1.0,1300
1670,6186,2.0,1670
960,4080,1.0,960
4670,51836,2.0,4670
2140,2770,2.0,1770
2520,5500,1.0,1550
1650,9380,1.0,1130
1440,5680,1.0,1440
1050,5900,1.0,1050
1470,7650,1.0,1130
4230,37769,2.0,4230
1970,7972,1.0,1370
1540,17424,2.0,1540
2090,8354,2.0,2090
2380,17950,2.0,2110
2156,3562,2.0,2156
2070,8893,2.0,2070
1910,8167,1.0,1270
1920,7400,1.0,1260
3400,5979,2.0,2290
1400,9177,1.0,1400
2210,17715,2.0,2210
1170,4887,1.0,1020
2100,72745,1.0,2100
1160,9750,1.0,1160
1500,4000,1.0,900
2940,6000,2.0,2940
2010,5070,1.0,1300
2170,4912,2.0,2170
1430,5200,1.0,1250
1510,6460,1.0,1070
1150,6908,1.0,800
2150,4200,1.0,1140
1370,6001,1.0,1230
2380,6600,1.0,2380
1370,3850,1.0,770
1600,14250,1.0,1070
3750,9612,1.0,2030
3950,3938,2.0,2910
2400,13430,1.0,2400
2830,4000,2.5,2830
2440,22594,2.0,2440
1190,1149,2.0,1050
1400,218252,1.0,1400
2730,4683,2.0,2730
2390,7939,1.0,1610
2060,31400,2.0,2060
2490,9864,1.0,1290
1100,10968,1.0,1100
2430,6099,1.0,1470
3170,12750,2.0,2360
2640,8625,2.0,2640
1130,7223,1.0,1130
1940,7642,1.5,1940
1100,3000,1.5,1100
1200,10800,1.0,1200
2000,8030,1.0,1000
1890,4838,2.0,1730
1910,2874,1.0,1060
2710,5880,2.0,2710
4860,9453,1.5,3100
1250,23680,1.0,1250
1590,8219,1.5,970
1240,1221,2.0,1050
2000,4800,2.0,2000
3610,10003,1.5,3610
1930,8040,1.0,1930
1280,5400,1.0,1280
2090,40419,1.0,2090
1940,9887,1.0,1140
1800,5761,2.0,1800
1730,8400,1.0,1400
2810,11120,2.0,2810
3550,11000,1.0,2260
1330,7980,1.5,1330
750,34133,1.0,750
1760,7216,1.0,1090
3200,36276,2.0,3200
1740,9000,1.0,1740
2100,4700,2.0,2100
4270,40097,1.0,4270
1340,2720,1.5,1340
3190,8684,1.0,1680
1630,4534,2.0,1630
2990,15085,2.0,2990
1550,7740,1.5,1550
1690,4964,2.0,1690
1960,12243,2.0,1960
2390,9966,1.0,1360
2600,4438,2.0,2600
1950,8698,1.0,1950
1250,7210,1.0,1250
1180,1253,2.0,840
1680,4308,2.0,1680
2220,36085,2.0,2220
4890,15188,2.0,3090
2660,17852,2.5,2660
1150,3323,2.0,1150
1130,5500,1.0,1130
2760,5000,2.0,2760
1430,8919,1.0,1430
1490,57381,1.5,1490
2030,4997,2.0,2030
3010,5000,2.0,1890
1810,7200,1.0,1130
1810,7200,1.0,1130
970,5000,1.0,970
2010,3090,1.5,1510
1300,6030,1.5,1300
1260,10350,1.0,1260
2610,24931,2.0,2610
1910,5753,1.0,1110
1780,16290,2.0,1780
1900,8600,1.0,1900
2450,25600,1.0,1340
1380,14000,1.0,1380
1920,11340,1.0,1230
1350,4003,1.0,1350
1350,4003,1.0,1350
2510,7440,1.0,1290
2470,7780,2.0,2470
1660,10725,1.0,960
1340,5175,1.0,940
1620,30736,1.5,1620
2300,35287,2.0,2300
2000,2309,3.0,2000
1640,11050,1.0,1640
1530,4080,1.5,1530
4000,11894,1.0,2190
1610,12555,1.0,1080
2070,9000,1.0,1450
1900,5790,2.0,1900
1050,16050,1.0,1050
1520,1304,2.0,1180
2390,23899,1.0,1750
2400,8050,2.0,2400
1790,6120,2.0,1790
1720,6271,2.0,1720
2980,13260,1.0,1800
1520,213444,1.5,1520
1150,8690,1.0,1150
380,15000,1.0,380
910,5212,1.0,910
1650,10150,1.0,1230
2480,3200,2.0,2480
2050,7416,2.0,2050
1420,8549,2.0,1420
3460,6590,2.0,3460
1500,4445,2.0,1500
1320,3090,1.0,1320
2180,8240,1.0,1220
1830,4160,1.0,1230
1620,8701,1.0,1220
2920,13650,1.0,1460
3300,10514,2.0,3300
3060,12095,2.0,3060
3064,4764,3.5,3064
1530,8498,1.0,1530
1910,11576,1.0,1410
1020,8100,1.0,1020
1150,8100,1.0,1150
1260,9570,1.0,870
1920,4822,1.0,920
1800,9350,1.0,1800
2040,4000,2.0,1360
2200,4000,2.0,1430
3200,17204,1.0,2160
2400,3118,2.0,1780
1140,1058,3.0,1140
1330,10640,1.0,1330
1940,10035,2.0,1940
3000,25341,2.0,3000
1820,5400,1.5,1820
2910,5000,2.0,2910
1090,6771,1.0,1090
1230,1340,2.0,1020
1710,7700,1.5,1710
3160,11470,1.0,1780
2680,28243,2.0,2680
2190,9009,2.0,1840
1260,9600,1.0,1260
2970,14486,2.0,2340
2570,50308,1.5,2570
3810,13592,1.0,2560
1010,1157,2.0,950
1480,6698,1.0,1080
1250,6041,1.5,1250
1654,8479,2.0,1654
1410,9315,1.0,1410
2160,5720,1.0,1500
1400,4800,1.0,700
1420,8738,1.0,1420
2500,10062,1.0,1600
1410,8384,1.0,1410
2100,7135,1.0,1050
1750,7208,2.0,1750
2070,5500,1.0,1130
1570,1777,2.0,1260
1920,5322,2.0,1920
1000,10320,1.0,1000
2120,7700,1.5,2120
1440,9220,1.0,1440
1660,16275,2.0,1660
1340,8450,1.0,1340
2380,11824,1.0,1450
1560,4049,1.5,1000
2780,10480,1.0,1390
1860,6687,1.0,1220
2390,4600,2.0,1750
1370,1140,2.0,1080
2570,262018,1.0,1420
1320,2614,2.0,1320
2520,7863,1.0,1500
1250,18616,1.0,1250
1560,35026,1.0,1290
2330,5000,1.5,1720
3660,22410,1.0,1830
2790,4650,2.0,2790
1060,7200,1.0,1060
2020,6564,1.0,1310
1580,47916,1.0,1580
2020,4300,1.5,2020
970,5665,1.0,970
1490,6766,1.5,1490
4390,10140,2.0,3350
2750,5589,1.5,1840
2150,23568,1.0,2150
1810,7480,1.0,1230
2230,12968,2.0,2230
2430,10720,1.0,2430
3680,13384,2.0,3680
1410,6750,1.5,1410
1330,6743,1.0,1330
1490,10650,1.0,1150
2020,1159,3.0,2020
3130,13202,2.0,3130
2670,5000,2.0,2670
1980,4560,1.5,1980
2100,14850,1.0,2100
1350,8581,1.0,1350
2140,7920,1.0,1190
2208,5000,3.0,2208
1010,7380,1.0,1010
970,2970,1.0,970
1520,6174,1.5,1520
2740,43101,2.0,2740
1570,7500,1.0,1300
1320,9000,1.0,1320
2550,7636,1.0,1440
1560,7207,1.0,1250
2360,8616,2.0,2360
1330,5000,2.0,1210
1070,9000,1.0,1070
1510,13737,1.0,810
1710,3469,2.0,1710
2790,10819,2.0,2790
2620,5450,2.0,2620
2970,24759,1.0,1670
1050,7854,1.0,1050
1280,8712,1.0,1280
1030,8400,1.0,1030
1900,7800,1.0,1390
3070,9804,1.0,1740
1760,4139,2.0,1760
930,5400,1.0,930
880,7683,1.0,880
1360,1016,3.0,1310
2130,8560,1.0,1560
1480,7469,1.5,1120
1500,6388,1.5,1500
1670,5004,2.0,1670
2060,9828,1.0,2060
2160,8158,1.0,1660
2780,11583,1.0,1190
1490,7651,1.0,1490
740,6460,1.0,740
1860,6325,2.0,1860
1590,20917,1.5,1590
850,2340,1.0,850
1030,4188,1.0,1030
1850,9550,1.0,1850
1830,4590,2.0,1830
1560,8853,1.0,1560
1730,8320,1.0,1230
1930,7214,2.0,1930
1422,3677,2.0,1422
1380,5000,1.5,1380
2430,4203,2.0,2430
2610,7091,2.0,2610
2000,217800,2.0,2000
920,5000,1.0,490
1750,5500,1.5,1050
2020,8970,1.0,1180
2460,44431,1.0,2460
1780,7260,1.0,1780
1080,3600,1.0,1080
1250,5411,1.0,1250
1870,7700,2.0,1870
1700,8432,1.0,1230
1480,47045,1.0,1480
1930,6228,2.0,1930
3130,21810,2.0,3130
1370,6000,2.0,1370
960,8106,1.0,960
1260,7128,1.0,1260
1480,7749,1.0,1480
1930,9643,2.0,1930
870,5340,1.5,870
1300,8400,1.5,1300
1490,6930,1.0,1490
1380,5484,1.0,1030
1190,8190,1.5,1190
4250,6552,2.0,2870
1920,6045,1.0,1920
2080,12522,1.0,2080
3220,54160,2.0,2690
3680,5854,1.0,2060
2070,9600,1.0,1270
1480,2200,2.0,1480
2000,6921,2.0,2000
1560,5259,2.0,1560
1600,8961,1.0,1390
1940,10500,1.0,1140
1540,3000,1.0,770
820,8860,1.0,820
1780,8784,1.0,1230
1560,242629,1.0,1560
2210,8862,1.0,1270
2040,114562,1.0,2040
1920,11500,1.0,1920
1930,5000,1.0,1230
1700,4250,1.0,890
3450,6500,2.0,2450
3440,35021,2.0,3440
2380,13435,2.0,2380
2400,5350,1.5,1460
5670,84267,2.0,5670
1140,10320,1.0,1140
1670,5375,1.0,1270
1910,8005,1.0,1280
1560,9452,1.0,1560
1500,8645,1.0,1500
4475,6642,2.0,4475
2840,11900,1.0,1640
1020,18050,1.0,1020
1410,9000,1.0,1410
1520,2500,1.5,1520
730,6890,1.0,730
1190,6250,1.0,990
1410,8909,2.0,1410
1240,57000,1.0,1240
2500,9248,1.0,1300
1050,9206,1.5,1050
2680,8500,1.0,1480
2380,16080,1.0,1340
1060,4228,1.0,860
2300,41900,1.0,1310
2010,7426,1.0,1090
1090,5000,1.0,730
2320,5595,1.0,1510
1040,7541,1.0,1040
1810,8677,1.5,1810
1150,12775,1.0,1150
2360,11254,1.0,2360
1970,3400,1.5,1420
2690,28300,1.0,2690
2080,4080,1.0,1040
2080,4080,1.0,1040
